StreetCode,StreetName
118370,EAST 69 STREET
118390,EAST 70 STREET
118410,EAST 71 STREET
118430,EAST 72 STREET
118450,EAST 73 STREET
118470,EAST 74 STREET
118490,EAST 75 STREET
118510,EAST 76 STREET
118530,EAST 77 STREET
118550,EAST 78 STREET
118570,EAST 79 STREET
118590,EAST 80 STREET
118610,EAST 81 STREET
118630,EAST 82 STREET
118650,EAST 83 STREET
118670,EAST 84 STREET
118690,EAST 85 STREET
118710,EAST 86 STREET
118730,EAST 87 STREET
118750,EAST 88 STREET
118770,EAST 89 STREET
118790,EAST 90 STREET
118810,EAST 91 STREET
118820,EAST 92 STREET
118830,EAST 93 STREET
118850,EAST 94 STREET
118870,EAST 95 STREET
118890,EAST 96 STREET
118910,EAST 97 STREET
118930,EAST 98 STREET
118950,EAST 99 STREET
118970,EAST 100 STREET
118990,EAST 101 STREET
119010,EAST 102 STREET
119030,EAST 103 STREET
119050,EAST 104 STREET
119070,EAST 105 STREET
119090,EAST 106 STREET
119110,EAST 107 STREET
119130,EAST 108 STREET
119150,EAST 109 STREET
119170,EAST 110 STREET
119190,EAST 111 STREET
119210,EAST 112 STREET
119220,EAST 113 STREET
119230,EAST 114 STREET
119250,EAST 115 STREET
119270,EAST 116 STREET
119290,EAST 117 STREET
119310,EAST 118 STREET
119330,EAST 119 STREET
119350,EAST 120 STREET
119370,EAST 121 STREET
119390,EAST 122 STREET
119410,EAST 123 STREET
119430,EAST 124 STREET
119450,EAST 125 STREET
119470,EAST 126 STREET
119490,EAST 127 STREET
119510,EAST 128 STREET
119530,EAST 129 STREET
119550,EAST 130 STREET
119570,EAST 131 STREET
119590,EAST 132 STREET
119620,EAST 135 STREET
119680,EAST 138 STREET
119681,EAST 139 STREET
119690,EAST BROADWAY
119790,EAST END AVENUE
119890,EAST HOUSTON STREET
119895,EAST ROAD
119985,EDGAR STREET
119990,EDGECOMBE AVENUE
120010,EDWARD M MORGAN PLACE
120090,ELDRIDGE STREET
120190,ELIZABETH STREET
120240,ELK STREET
120290,ELLWOOD STREET
120330,ENRIGHT ROAD
120340,BEACH STREET
120350,ESCANABA ROAD
120390,ESSEX STREET
120410,EVANS ROAD
120425,EXCHANGE ALLEY
120430,EXCHANGE PLACE
120450,EXTRA PLACE
120490,F D R DRIVE
120590,FAIRVIEW AVENUE
120608,FERRY LINE ROAD
120620,FLETCHER STREET
120640,FORSYTH STREET
120690,FT CHARLES PLACE
120790,FT GEORGE AVENUE
120801,FT GEORGE HILL
120830,FT TRYON PLACE
120840,FT TRYON PARK BOUNDARY
120850,FRANKFORT STREET
120880,FRANKLIN PLACE
120890,FRANKLIN STREET
121010,FRAWLEY CIRCLE
121040,FREDERICK DOUGLASS CIRCLE
121045,FREEDOM PLACE
121055,FREEMAN ALLEY
121090,FRONT STREET
121190,FT WASHINGTON AVENUE
121230,FULTON STREET
121240,GANSEVOORT STREET
121290,GAY STREET
121350,GOLD STREET
121380,GOUVERNEUR LANE
121386,GOUVERNEUR SLIP EAST
121387,GOUVERNEUR SLIP WEST
121390,GOUVERNEUR STREET
121490,GRACIE SQUARE
121495,GRACIE TERRACE
121590,GRAMERCY PARK EAST
121680,GRAND ARMY PLAZA
121690,GRAND STREET
121698,GRANTS TOMB BOUNDARY
121700,GREAT JONES ALLEY
121705,GREAT JONES STREET
121730,GREENE STREET
121740,GREENWICH AVENUE
121745,GREENWICH COURT
121790,GREENWICH STREET
